statistischer_Bezirk_Name,statistischer_Bezirk_Nr,31.12.2006,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016,31.12.2017
Jena (gesamt),0,27441,28628,29628,30449,31113,31756,30886,31197,30856,31171,31481,
Ammerbach Ort,11,50,51,53,49,46,47,48,52,58,61,59,
Beutenberg / Winzerlaer Straße,12,516,547,557,579,592,610,612,628,645,661,671,
Burgau Ort,21,69,69,75,72,76,73,77,80,91,103,111,
Ringwiese Flur Burgau,22,131,135,144,139,154,158,155,154,143,137,143,
Göschwitz,30,67,72,75,74,75,82,84,81,91,100,104,
Jena-Zentrum,41,2261,2369,2458,2563,2628,2688,2502,2559,2431,2454,2501,
Jena-West,42,2883,3021,3137,3200,3257,3334,3103,3101,2991,3013,3050,
Jena-Nord,43,3341,3484,3537,3621,3678,3774,3651,3700,3628,3671,3635,
Jena-Süd,44,2564,2677,2765,2853,2954,3047,2866,2912,2850,2886,2941,
Lichtenhain Ort,51,84,89,86,94,94,96,102,103,108,117,115,
Mühlenstraße,52,423,435,477,486,521,518,507,515,489,483,506,
Lobeda-Altstadt,61,256,267,265,263,281,278,269,282,291,297,298,
Lobeda-West,62,2399,2541,2653,2745,2791,2909,2818,2813,2850,2861,2903,
Lobeda-Ost,63,1972,2002,2059,2091,2096,2141,2048,2075,2047,2064,2093,
Löbstedt Ort,71,83,84,87,82,88,93,93,87,76,92,91,
Nord II,72,1231,1263,1313,1364,1397,1420,1448,1501,1561,1539,1573,
Wenigenjena / Kernberge,81,335,355,374,385,385,393,417,422,421,414,426,
Wenigenjena Ort,82,1637,1720,1721,1797,1808,1805,1785,1769,1756,1798,1793,
Wenigenjena / Schlegelsberg,83,1035,1056,1063,1120,1171,1178,1157,1153,1162,1161,1150,
Winzerla,90,3230,3355,3489,3544,3579,3588,3630,3634,3574,3585,3576,
Wöllnitz,100,84,79,84,82,87,87,96,94,93,96,90,
Ziegenhain Ort,111,53,58,61,60,67,67,66,65,68,64,63,
Ziegenhainer Tal,112,370,394,406,400,406,412,407,401,418,424,436,
Zwätzen,120,273,293,321,327,363,387,382,396,398,412,433,
Drackendorf / Lobeda-Ost,131,1548,1629,1728,1805,1823,1843,1830,1883,1889,1891,1896,
Drackendorf,132,61,60,72,69,77,85,85,91,88,96,100,
Ilmnitz,133,9,12,12,13,16,16,22,23,25,28,31,
Maua,141,32,28,32,32,28,28,39,35,39,43,49,
Leutra,142,12,13,13,11,11,10,11,11,12,16,17,
Münchenroda,151,26,30,31,31,32,38,40,40,41,38,43,
Remderoda,152,11,8,9,14,12,10,8,9,7,8,8,
Krippendorf,161,7,6,4,6,7,8,11,8,10,18,18,
Vierzehnheiligen,162,9,7,7,7,8,9,8,9,9,7,6,
Isserstedt,170,67,75,81,80,77,74,74,82,73,77,73,
Cospeda,181,146,164,194,204,228,241,213,218,208,225,234,
Lützeroda,182,14,15,15,11,13,10,12,10,14,13,16,
Closewitz,183,16,16,15,13,15,16,17,17,19,19,17,
Kunitz,191,50,62,62,65,66,70,69,67,61,57,63,
Laasan,192,3,3,3,3,3,7,8,8,8,10,10,
Jenaprießnitz,201,27,26,31,31,33,26,33,33,37,50,54,
Wogau,202,56,58,59,64,70,80,83,76,76,82,85,
außerhalb / sonstiges / nicht zugeordnet,999,0,0,0,0,0,0,0,0,0,0,0,
