statistischer_Bezirk_Name,statistischer_Bezirk_Nr,31.12.2006,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016,31.12.2017
Jena (gesamt),0,6372,6466,6598,6672,6831,7087,7388,7602,7978,8275,8488,
Ammerbach Ort,11,14,14,17,14,13,16,20,22,22,24,24,
Beutenberg / Winzerlaer Straße,12,110,114,124,124,129,133,140,151,166,177,174,
Burgau Ort,21,17,15,17,15,16,14,15,16,21,28,30,
Ringwiese Flur Burgau,22,60,63,65,62,67,72,74,67,63,63,65,
Göschwitz,30,21,25,24,24,24,25,29,29,31,33,36,
Jena-Zentrum,41,243,240,232,218,226,222,218,233,237,243,240,
Jena-West,42,270,280,297,313,322,333,336,330,348,355,378,
Jena-Nord,43,726,747,740,734,738,757,748,750,771,776,783,
Jena-Süd,44,381,385,375,364,372,389,395,391,403,416,415,
Lichtenhain Ort,51,17,17,19,22,21,25,26,25,29,29,30,
Mühlenstraße,52,46,43,47,43,49,50,57,58,59,61,59,
Lobeda-Altstadt,61,82,85,93,85,90,94,89,97,96,106,106,
Lobeda-West,62,786,799,818,835,859,884,911,967,1014,1047,1084,
Lobeda-Ost,63,494,497,506,525,552,582,600,604,660,690,713,
Löbstedt Ort,71,27,28,26,24,23,23,21,21,22,23,24,
Nord II,72,623,623,663,675,672,690,721,732,763,792,811,
Wenigenjena / Kernberge,81,84,79,77,82,80,93,99,103,107,110,119,
Wenigenjena Ort,82,369,381,376,368,370,378,393,389,411,411,427,
Wenigenjena / Schlegelsberg,83,363,367,355,364,360,376,385,402,408,426,433,
Winzerla,90,835,844,874,904,925,944,1066,1106,1157,1223,1248,
Wöllnitz,100,24,24,25,25,27,29,37,34,36,38,42,
Ziegenhain Ort,111,15,15,17,17,20,18,16,18,20,21,23,
Ziegenhainer Tal,112,128,135,137,139,147,155,154,163,161,165,170,
Zwätzen,120,69,72,77,82,89,96,108,121,131,139,145,
Drackendorf / Lobeda-Ost,131,435,442,464,475,481,519,545,580,624,630,650,
Drackendorf,132,9,8,8,8,10,13,15,17,23,26,26,
Ilmnitz,133,0,0,0,0,3,0,3,3,5,6,6,
Maua,141,10,11,11,8,8,12,16,16,20,21,20,
Leutra,142,4,4,4,5,4,5,4,4,4,4,6,
Münchenroda,151,5,5,6,7,7,7,8,10,11,11,13,
Remderoda,152,3,0,0,0,0,0,0,0,0,0,0,
Krippendorf,161,0,0,0,0,0,0,3,4,7,10,10,
Vierzehnheiligen,162,4,3,3,0,3,4,5,4,4,0,0,
Isserstedt,170,21,24,26,25,28,28,26,29,29,29,28,
Cospeda,181,24,21,23,25,30,35,39,44,44,50,54,
Lützeroda,182,6,6,7,6,6,4,5,3,4,4,6,
Closewitz,183,5,3,3,3,4,5,4,4,6,8,8,
Kunitz,191,15,16,14,16,18,17,17,17,21,22,23,
Laasan,192,0,0,0,0,0,0,3,3,3,3,4,
Jenaprießnitz,201,10,12,11,11,12,10,11,10,10,18,18,
Wogau,202,14,14,16,18,22,23,25,24,26,34,35,
außerhalb / sonstiges / nicht zugeordnet,999,0,0,0,0,0,0,0,0,0,0,0,
